,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
159,Kyrie Irving,BRK,PG,0.5808580858085809,0.87229514012061,0.7784217565760143,0.5185185185185185,0.4230769230769231,0.14726947179946287,0.7927480916030535,0.5898021308980214,0.41587901701323254,0.91,0.52,0.58,0.74,0.75,0.42,0.39,0.14,0.18,0.14,0.58,0.48,0.11,0.51,0.2,0.79
160,Jonathan Isaac,ORL,SF,0.132013201320132,0.6151117417523945,0.3348194382523406,0.3333333333333335,0.47435897435897434,0.36705461056401073,0.2625954198473282,0.2001522070015221,0.46124763705103966,0.36,0.28,0.37,0.3,0.33,0.19,0.18,0.31,0.43,0.37,0.08,0.57,0.58,0.23,0.27,0.28
161,Wesley Iwundu,ORL,SF,0.2838283828382838,0.32422844980489535,0.1301827909050379,0.2962962962962964,0.358974358974359,0.20367054610564014,0.11412213740458016,0.19178082191780824,0.20604914933837432,0.17,0.16,0.19,0.2,0.25,0.22,0.23,0.16,0.25,0.21,0.13,0.33,0.17,0.12,0.37,0.15
162,Frank Jackson,NOP,PG,0.07920792079207921,0.2802412202908832,0.14801604993312528,0.2592592592592593,0.5256410256410255,0.11772605192479858,0.38816793893129764,0.1560121765601218,0.08506616257088846,0.55,0.36,0.5,0.39,0.44,0.19,0.2,0.14,0.16,0.13,0.18,0.29,0.0,0.3,0.33,0.39
163,Jaren Jackson,MEM,C,0.0627062706270627,0.6669031571479248,0.4645563976816764,0.5555555555555555,0.4615384615384615,0.27931960608773504,0.5240458015267175,0.26636225266362257,0.39697542533081287,0.62,0.44,0.5,0.52,0.5,0.34,0.38,0.25,0.3,0.28,0.09,0.38,0.56,0.4,0.73,0.57
164,Josh Jackson,MEM,SG,0.2706270627062706,0.5615466477474281,0.2505572893446278,0.18518518518518517,0.358974358974359,0.29140555058191586,0.5729007633587787,0.0,0.22117202268431005,0.66,0.26,0.37,0.55,0.66,0.31,0.38,0.25,0.33,0.3,0.22,0.57,0.25,0.53,0.49,0.46
165,Justin Jackson,DAL,PF,0.38943894389438943,0.38949982263213906,0.18814088274632193,0.3333333333333335,0.6153846153846153,0.1839749328558639,0.18969465648854963,0.2123287671232877,0.11909262759924386,0.32,0.34,0.45,0.24,0.23,0.09,0.09,0.14,0.23,0.19,0.11,0.19,0.11,0.05,0.16,0.24
166,Reggie Jackson,LAC,PG,0.636963696369637,0.691025186236254,0.4614355773517611,0.3333333333333335,0.4358974358974359,0.1060877350044763,0.6354961832061068,0.3554033485540335,0.29111531190926276,0.73,0.42,0.5,0.52,0.62,0.36,0.34,0.12,0.13,0.1,0.61,0.29,0.03,0.53,0.31,0.57
167,LeBron James,LAL,PG,0.8514851485148515,0.980134799574317,0.9384752563530986,0.5925925925925926,0.3333333333333333,0.42121754700089525,0.8221374045801526,0.8112633181126333,0.6370510396975425,0.84,0.34,0.43,0.89,0.79,0.5,0.6,0.2,0.53,0.42,0.81,0.48,0.19,0.77,0.08,0.81
168,James Johnson,MIN,PF,0.6501650165016502,0.5147215324583184,0.36647347302719574,0.4074074074074076,0.4358974358974359,0.27931960608773504,0.3553435114503816,0.2442922374429224,0.4064272211720227,0.4,0.26,0.34,0.41,0.38,0.19,0.24,0.18,0.34,0.28,0.38,0.48,0.36,0.51,0.43,0.35
169,Stanley Johnson,TOR,PF,0.7062706270627063,0.42107130188009934,0.12215782434239858,0.07407407407407415,0.5256410256410255,0.26141450313339304,0.31641221374045797,0.08828006088280063,0.33648393194706994,0.38,0.28,0.42,0.24,0.31,0.15,0.15,0.14,0.32,0.24,0.19,0.62,0.11,0.37,0.39,0.22
170,Tyler Johnson,BRK,SG,0.5973597359735974,0.638169563675062,0.3272403031654035,0.37037037037037057,0.5256410256410255,0.16248880931065354,0.3511450381679389,0.27777777777777785,0.33459357277882795,0.44,0.36,0.43,0.3,0.36,0.24,0.25,0.12,0.21,0.15,0.29,0.43,0.19,0.26,0.25,0.35
