,Player,final_team,Pos,G,MP,PER,TS%,3PAr,TRB%,USG%,OWS,DWS,Height,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
239,Nerlens Noel,OKC,C,0.6195286195286195,0.3982869379014988,0.5679893000445833,0.6153846153846154,0.0,0.5617001828153566,0.2374045801526718,0.26331811263318117,0.41587901701323254,0.6842105263157894,0.27,0.0,0.0,0.56,0.52,0.24,0.29,0.61,0.54,0.57,0.11,0.9,0.67,0.4,0.61,0.3
240,Frank Ntilikina,NYK,PG,0.2558922558922559,0.45253390435403273,0.07891217119928669,0.0,0.47435897435897434,0.0891224862888483,0.25534351145038175,0.07153729071537293,0.17580340264650282,0.3684210526315788,0.32,0.24,0.34,0.2,0.32,0.1,0.09,0.1,0.15,0.11,0.46,0.52,0.14,0.44,0.53,0.16
241,Jusuf Nurkic,POR,C,0.5185185185185185,0.5631691648822269,0.6049933125278645,0.3076923076923078,0.02564102564102564,0.6978976234003658,0.5938931297709923,0.26864535768645365,0.4858223062381853,0.7894736842105264,0.61,0.0,0.03,0.82,0.86,0.4,0.5,0.71,0.7,0.72,0.26,0.48,0.58,0.63,0.63,0.53
242,David Nwaba,BRK,SF,0.19865319865319866,0.42184154175588856,0.29380294248773964,0.4615384615384614,0.25641025641025644,0.2810786106032907,0.19007633587786263,0.2321156773211568,0.166351606805293,0.4210526315789476,0.22,0.1,0.16,0.35,0.36,0.26,0.33,0.31,0.31,0.3,0.12,0.43,0.19,0.21,0.45,0.24
243,Royce O'Neale,UTA,PF,0.40404040404040403,0.4743040685224839,0.168970129291128,0.4615384615384614,0.6794871794871795,0.31215722120658135,0.07671755725190839,0.2351598173515982,0.44990548204158787,0.3684210526315788,0.12,0.3,0.34,0.09,0.09,0.08,0.07,0.06,0.46,0.32,0.24,0.43,0.14,0.19,0.43,0.12
244,Kyle O'Quinn,PHI,C,0.6498316498316499,0.18308351177730187,0.57958091841284,0.4230769230769233,0.10256410256410256,0.6942413162705667,0.3480916030534352,0.27092846270928467,0.29867674858223064,0.6315789473684211,0.38,0.06,0.07,0.57,0.58,0.2,0.23,0.69,0.69,0.7,0.33,0.33,0.72,0.49,0.75,0.33
245,Semi Ojeleye,BOS,PF,0.32323232323232326,0.1877230549607423,0.037895675434685715,0.26923076923076933,0.8076923076923077,0.19058500914076784,0.03931297709923662,0.17960426179604266,0.20226843100189038,0.4736842105263159,0.09,0.32,0.38,0.02,0.04,0.08,0.1,0.16,0.23,0.21,0.03,0.24,0.08,0.07,0.27,0.08
246,Jahlil Okafor,NOP,C,0.39730639730639733,0.4179157744468236,0.4814979937583594,0.4999999999999999,0.01282051282051282,0.4542961608775138,0.5011450381679389,0.2077625570776256,0.16446124763705103,0.6842105263157894,0.62,0.0,0.02,0.9,0.87,0.28,0.36,0.51,0.44,0.46,0.11,0.1,0.44,0.49,0.49,0.53
247,Elie Okobo,PHO,PG,0.020202020202020204,0.2455389007851534,0.14266607222469913,0.1923076923076923,0.5384615384615384,0.12705667276051189,0.2374045801526718,0.15296803652968038,0.08506616257088846,0.31578947368421056,0.29,0.28,0.38,0.19,0.25,0.18,0.2,0.1,0.19,0.12,0.45,0.43,0.06,0.42,0.41,0.2
248,Josh Okogie,MIN,SG,0.11447811447811448,0.5581727337615987,0.19750334373606776,0.26923076923076933,0.5256410256410255,0.19241316270566733,0.21374045801526717,0.18721461187214614,0.26654064272211725,0.3684210526315788,0.28,0.2,0.35,0.21,0.25,0.31,0.33,0.22,0.23,0.22,0.14,0.62,0.17,0.26,0.37,0.24
