Player,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarred Vanderbilt,0.24,0.0,0.02,0.28,0.22,0.14,0.19,0.1,0.29,0.27,0.14,0.22,0.19,0.49,0.28,0.29
Jarrell Brantley,0.29,0.08,0.13,0.17,0.16,0.02,0.04,0.02,0.28,0.21,0.32,0.08,0.42,0.3,0.17,0.23
Jarrett Allen,0.26,0.0,0.01,0.36,0.25,0.18,0.26,0.1,0.33,0.32,0.14,0.06,0.44,0.2,0.21,0.38
Jarrett Culver,0.38,0.12,0.15,0.24,0.23,0.08,0.16,0.05,0.15,0.14,0.21,0.12,0.19,0.22,0.19,0.35
Jarrett Jack,0.31,0.06,0.07,0.24,0.24,0.12,0.14,0.01,0.17,0.12,0.64,0.08,0.02,0.32,0.16,0.31
Jarrod Uthoff,0.33,0.11,0.11,0.24,0.23,0.08,0.12,0.06,0.16,0.17,0.17,0.06,0.15,0.08,0.13,0.32
Jason Smith,0.37,0.06,0.05,0.35,0.31,0.09,0.12,0.05,0.23,0.22,0.13,0.07,0.4,0.21,0.34,0.38
Jason Terry,0.22,0.17,0.16,0.08,0.06,0.03,0.04,0.01,0.09,0.07,0.21,0.12,0.08,0.13,0.16,0.23
Jason Thompson,0.23,0.03,0.03,0.22,0.2,0.16,0.22,0.07,0.33,0.29,0.17,0.09,0.29,0.12,0.38,0.28
Javonte Green,0.27,0.06,0.07,0.25,0.19,0.12,0.18,0.05,0.21,0.19,0.14,0.15,0.15,0.2,0.21,0.32
Jawun Evans,0.32,0.06,0.07,0.21,0.25,0.09,0.12,0.01,0.15,0.11,0.38,0.14,0.04,0.23,0.28,0.25
Jaxson Hayes,0.24,0.0,0.01,0.36,0.24,0.22,0.36,0.09,0.22,0.24,0.15,0.08,0.4,0.19,0.33,0.4
Jaylen Adams,0.25,0.16,0.18,0.07,0.09,0.03,0.05,0.02,0.17,0.14,0.43,0.09,0.06,0.26,0.23,0.23
Jaylen Brown,0.39,0.15,0.14,0.3,0.25,0.14,0.22,0.03,0.2,0.17,0.15,0.1,0.08,0.23,0.21,0.45
